group,obs_name,bmin,mag_num,amp_pred,proj_meas
wagenveld-2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,0.015501791028314841,0.014362600748439673
wagenveld-2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,0.015501791028314841,0.01841703879026297
wagenveld-2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,0.015501791028314841,0.015836925865273285
wagenveld-2MRS_clean,Quaia_maskscan_G20.0_bmin20,20.0,,0.022283071148241684,0.019418027799382745
wagenveld-2MRS_clean,Quaia_maskscan_G20.0_bmin25,25.0,,0.01889243108827826,0.016645382045536724
wagenveld-2MRS_clean,Quaia_maskscan_G20.0_bmin30,30.0,,0.015501791028314841,0.012695890604429036
wagenveld-2MRS_clean,Quaia_maskscan_G20.0_bmin35,35.0,,0.01211115096835142,0.011132063780253512
wagenveld-2MRS_clean,Quaia_maskscan_G20.5_bmin20,20.0,,0.022283071148241684,0.024569857390127754
wagenveld-2MRS_clean,Quaia_maskscan_G20.5_bmin25,25.0,,0.01889243108827826,0.020856602210390394
wagenveld-2MRS_clean,Quaia_maskscan_G20.5_bmin30,30.0,,0.015501791028314841,0.01802587119633905
wagenveld-2MRS_clean,Quaia_maskscan_G20.5_bmin35,35.0,,0.01211115096835142,0.016306826854976784
wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,0.015501791028314841,0.01579795666724596
wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,0.015501791028314841,0.016233410631303
wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,0.015501791028314841,0.012301378655695706
wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,0.015501791028314841,0.012249820926845817
wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,0.015501791028314841,0.011196046122906214
wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,0.015501791028314841,0.01096919336837606
wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,0.01830786147036464,0.01760307967986696
wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,0.01830786147036464,0.02031075288178646
wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.01830786147036464,0.019684775880564727
wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.01830786147036464,0.017072268266610804
wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.01830786147036464,0.017006504187098568
wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.01830786147036464,0.015492181464659934
wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.01830786147036464,0.01652749110014955
wagenveld-2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.01830786147036464,0.024151269953035435
wagenveld-2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.01830786147036464,0.01774320398925882
wagenveld-2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.01830786147036464,0.020669904340897126
