pack,variant,model,template,drop,g_l,g_b,dAICc,chi2,aicc,success,s_l,s_b,gamma
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,RACS_low,254.32759340466316,42.53056154083076,-18.002290158414283,38.510642072534026,61.010642072534026,True,214.2421669662212,-19.500784296608614,0.004278430371962696
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,CatWISE_W1lt16p5,323.8627142766677,57.673387239474934,-36.868145531865935,7.071943385970225,29.571943385970226,True,7.2874644303138325,31.681293378212835,-0.013208969483460925
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_0p6_1p0,257.9317156603702,49.18442878761335,-30.807564918814613,40.46733382804819,62.96733382804819,True,351.8255007782714,76.94181573541869,0.0022901204716037162
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_1p0_1p5,252.8478218460887,47.13929005408592,-35.31531082670807,30.931993471267972,53.43199347126797,True,16.2866042424605,50.834737177151894,0.003026269428137868
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_1p5_3p0,252.11016473063728,45.65217199915497,-31.046725039225315,25.988742570457667,48.48874257045767,True,6.065482885637607,54.618999712691235,0.004911551629164485
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,NVSS,315.5886295723037,58.46437482439224,-50.87312227674103,12.63297971917197,35.13297971917197,True,8.355605255702073,33.2488823567248,0.01745997012948314
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,RACS_low,306.66652860879594,56.856976315129344,-53.000496831912386,3.51243539903592,26.01243539903592,True,10.181486785860784,34.95276864237459,0.01965933576594407
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,CatWISE_W1lt16p5,323.86271433656236,57.67338707532821,-36.868145531865935,7.071943385970225,29.571943385970226,True,7.287464412248141,31.681293141173757,0.013208969361974276
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_0p6_1p0,290.9955792535993,57.636978562636365,-59.08391157278296,12.190987174079844,34.690987174079844,True,6.097209257393843,35.99726969551489,0.018594623912245294
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_1p0_1p5,279.8717930886511,57.561517265259624,-54.4753605847703,11.771943713205745,34.271943713205744,True,4.731893943022442,40.50617602302069,0.016399092064270336
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_1p5_3p0,292.9869214320696,57.343009565300896,-45.854228417883164,11.18123919179982,33.68123919179982,True,15.288528636792591,24.25547690584114,0.01684249773462423
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,NVSS,267.90075080079896,55.92281164503646,-33.154139295752984,42.34210813120473,50.52392631302291,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,RACS_low,255.99417206798844,43.65990615334782,-27.364995792197426,39.35089374455771,47.53271192637589,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,CatWISE_W1lt16p5,324.3900445417078,59.0411883116747,-32.432988922494914,19.382020914011,27.56383909582918,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_0p6_1p0,258.7517827509259,50.69213451369009,-37.52220017351259,41.62761949201997,49.80943767383815,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_1p0_1p5,251.86939231126485,48.26429205431724,-41.26334779935652,32.858877417289264,41.040695599107444,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_1p5_3p0,251.70944319340265,47.26023628238368,-35.55187464488554,29.35851388346718,37.54033206528536,True,,,
