pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,w_bao,proj_residual_on_s,amp_pred
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,1,quaia_bin,pack,,,,,0,0.8180457891365732,0.05181921011829311,0.013488999230873619,0.016882403877120433
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,1,quaia_bin,pack,,,,,0,1.2593244815869629,0.037788479366085766,0.01780582149776807,0.016407178467704838
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,1,quaia_bin,pack,,,,,0,2.063375928734873,0.027893503000458914,0.015300417381668477,0.01554127289669197
wagenveld,baseline,Quaia_maskscan_G20.0_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5216184854507446,0.03338237692235073,0.018834703895578852,0.02189484564283147
wagenveld,baseline,Quaia_maskscan_G20.0_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.525849223136902,0.03332402739686681,0.016052919876003484,0.019005219967781452
wagenveld,baseline,Quaia_maskscan_G20.0_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.529037594795227,0.03328027277260123,0.012077543099900227,0.01611671684596324
wagenveld,baseline,Quaia_maskscan_G20.0_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.531247854232788,0.033250050621271635,0.010481655317102368,0.01322926708064857
wagenveld,baseline,Quaia_maskscan_G20.5_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5471723079681396,0.03303492283183039,0.024057332026449735,0.02186732601413486
wagenveld,baseline,Quaia_maskscan_G20.5_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.5523033142089844,0.032966570487085095,0.02031075714247916,0.018976730814610158
wagenveld,baseline,Quaia_maskscan_G20.5_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.55604088306427,0.03291707161611928,0.017444886613410083,0.01608763624691604
wagenveld,baseline,Quaia_maskscan_G20.5_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.5588762760162354,0.032879683102633325,0.01566969999483222,0.013199513257773878
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,1.0,0,1.529037594795227,0.03328027277260123,0.01521897759189298,0.013614178709809483
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,,0,1.529037594795227,0.03328027277260123,0.015641517489929993,0.01372046431885568
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,0.5,0,1.529037594795227,0.03328027277260123,0.011733133247179037,0.012950235310332694
