pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,proj1_meas,proj2_meas,amp1_pred,amp2_pred
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.529037594795227,-0.01170635232009952,0.003574500418120174,-0.015420116769766498,0.0027146378028645906
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.531247854232788,-0.01024548067258796,0.0016516363934097424,-0.013149558691040963,0.0018054494556213108
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5471723079681396,-0.023603033531981,0.0029132177621119036,-0.019944853073076307,0.004594193745641208
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.5523033142089844,-0.01997899367726236,0.0012503208436656192,-0.01767217391634459,0.003692927688600483
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.55604088306427,-0.01722749602900699,-0.00018933086399280236,-0.015400506688955115,0.002787882045005019
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.5588762760162354,-0.015562527930942146,-0.0009728802378790747,-0.013129494631491389,0.001880389322014717
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,1.0,0,1.529037594795227,-0.01482648594733016,0.0030452717457779294,-0.013154748609829365,0.0030581607515001562
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,,0,1.529037594795227,-0.015225153880930776,0.003881368956128984,-0.013209175267654564,0.0026932440250866394
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,0.5,0,1.529037594795227,-0.011540655804529697,-0.0013912881506880177,-0.012842444079489031,0.001321233514871661
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.0,3.0,,0,1.529037594795227,-0.011248555833079203,0.0037725256833194354,-0.01337893419728103,0.0034704784617975073
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,1.0,0,1.529037594795227,-0.010274359125461,0.002118467120384216,-0.012815230750576431,0.0015036918780784198
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,,1,1.529037594795227,-0.009940504392504268,0.00429088771498882,-0.009946302090696624,0.0044880366979158665
