pack,variant,obs_name,group,is_quaia,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,c1,w_bao
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,quaia_pmcut,1,30.0,20.0,2.0,1.0,0,1.529037594795227,-0.014219566975564077,0.03328027277260123
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<2,quaia_pmcut,1,30.0,20.0,2.0,,0,1.529037594795227,-0.014541806018255415,0.03328027277260123
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,quaia_pmcut,1,30.0,20.0,,0.5,0,1.529037594795227,-0.010884064950728278,0.03328027277260123
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<3,quaia_pmcut,1,30.0,20.0,3.0,,0,1.529037594795227,-0.01041924530105752,0.03328027277260123
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1,quaia_pmcut,1,30.0,20.0,,1.0,0,1.529037594795227,-0.009405021138763663,0.03328027277260123
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_none,quaia_pmcut,1,30.0,20.0,,,1,1.529037594795227,-0.00915269146563539,0.03328027277260123
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,quaia_pmcut,1,30.0,20.5,,0.5,0,1.55604088306427,-0.01613375351568122,0.03291707161611928
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<2,quaia_pmcut,1,30.0,20.5,2.0,,0,1.55604088306427,-0.018976923137357358,0.03291707161611928
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,quaia_pmcut,1,30.0,20.5,2.0,1.0,0,1.55604088306427,-0.018154971146042427,0.03291707161611928
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<3,quaia_pmcut,1,30.0,20.5,3.0,,0,1.55604088306427,-0.015623468546323049,0.03291707161611928
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,quaia_pmcut,1,30.0,20.5,3.0,1.0,0,1.55604088306427,-0.015268771315684437,0.03291707161611928
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_none,quaia_pmcut,1,30.0,20.5,,,1,1.55604088306427,-0.014104731833763564,0.03291707161611928
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1,quaia_pmcut,1,30.0,20.5,,1.0,0,1.55604088306427,-0.014786498796729611,0.03291707161611928
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z0p6p1p0,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,0.8184481912564778,-0.022361418744784284,0.05179932080859573
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z1p0p1p5,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,1.2607082545033923,-0.01692722748040736,0.03776028513879305
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z1p5p3p0,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,2.057584213322741,-0.019112922232005787,0.02793662036191585
wagenveld,2MRS_clean,NVSS,nonquaia,0,,,,,0,1.0,0.0,0.04449383069146858
wagenveld,2MRS_clean,RACS_low,nonquaia,0,,,,,0,1.0,0.0,0.04449383069146858
wagenveld,2MRS_clean,CatWISE_W1lt16p5,nonquaia,0,,,,,0,1.2,0.0,0.03906009838169246
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,quaia_bin,1,,,,,0,0.8180457891365732,-0.011859755672203728,0.05181921011829311
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,quaia_bin,1,,,,,0,1.2593244815869629,-0.01675074576382185,0.037788479366085766
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,quaia_bin,1,,,,,0,2.063375928734873,-0.014061196507518449,0.027893503000458914
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin20,quaia_maskscan,1,20.0,,,,0,1.5216184854507446,-0.01770053277154861,0.03338237692235073
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin25,quaia_maskscan,1,25.0,,,,0,1.525849223136902,-0.01484628031302568,0.03332402739686681
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin30,quaia_maskscan,1,30.0,,,,0,1.529037594795227,-0.010716440556183567,0.03328027277260123
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin35,quaia_maskscan,1,35.0,,,,0,1.531247854232788,-0.008909087715898925,0.033250050621271635
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin20,quaia_maskscan,1,20.0,,,,0,1.5471723079681396,-0.023239506962796433,0.03303492283183039
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin25,quaia_maskscan,1,25.0,,,,0,1.5523033142089844,-0.019285978294559757,0.032966570487085095
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin30,quaia_maskscan,1,30.0,,,,0,1.55604088306427,-0.016202086624267156,0.03291707161611928
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin35,quaia_maskscan,1,35.0,,,,0,1.5588762760162354,-0.014087617963933756,0.032879683102633325
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,quaia_pmcut,1,30.0,20.0,2.0,1.0,0,1.529037594795227,-0.014069388588642814,0.03328027277260123
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,quaia_pmcut,1,30.0,20.0,2.0,,0,1.529037594795227,-0.014424029736796877,0.03328027277260123
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,quaia_pmcut,1,30.0,20.0,,0.5,0,1.529037594795227,-0.010605257167136607,0.03328027277260123
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,quaia_pmcut,1,30.0,20.0,3.0,,0,1.529037594795227,-0.010310604230722381,0.03328027277260123
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,quaia_pmcut,1,30.0,20.0,,1.0,0,1.529037594795227,-0.009250598396102953,0.03328027277260123
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,quaia_pmcut,1,30.0,20.0,,,1,1.529037594795227,-0.009054935388466509,0.03328027277260123
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,quaia_pmcut,1,30.0,20.5,,0.5,0,1.55604088306427,-0.015798832471763658,0.03291707161611928
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,quaia_pmcut,1,30.0,20.5,2.0,,0,1.55604088306427,-0.018703370995677565,0.03291707161611928
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,quaia_pmcut,1,30.0,20.5,2.0,1.0,0,1.55604088306427,-0.01789806995587755,0.03291707161611928
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,quaia_pmcut,1,30.0,20.5,3.0,,0,1.55604088306427,-0.01536399856491129,0.03291707161611928
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,quaia_pmcut,1,30.0,20.5,3.0,1.0,0,1.55604088306427,-0.01502322505124616,0.03291707161611928
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,quaia_pmcut,1,30.0,20.5,,,1,1.55604088306427,-0.013865264129056242,0.03291707161611928
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,quaia_pmcut,1,30.0,20.5,,1.0,0,1.55604088306427,-0.014537519497983459,0.03291707161611928
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,0.8184481912564778,-0.021957164490080453,0.05179932080859573
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,1.2607082545033923,-0.01649237683969134,0.03776028513879305
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,2.057584213322741,-0.018918202368769586,0.02793662036191585
